year,quarter,state_name/ut_name,districts_name,total_transactions_count,total_transactions_amount
2020,4,karnataka,ballari district,863,690500.0
2020,4,karnataka,belagavi district,1586,924521.0
2020,4,karnataka,kolar district,482,516354.0
2020,4,karnataka,uttara kannada district,323,284151.0
2020,4,karnataka,tumakuru district,751,718936.0
2020,4,karnataka,yadgir district,136,72342.0
2020,4,karnataka,bengaluru urban district,18485,15922383.0
2020,4,karnataka,chikkaballapura district,381,281471.0
2020,4,karnataka,davanagere district,383,326889.0
2020,4,karnataka,bagalkote district,365,228368.0
2020,4,karnataka,vijayapura district,493,393668.0
2020,4,karnataka,koppal district,226,178303.0
2020,4,karnataka,bidar district,335,269118.0
2020,4,karnataka,bengaluru rural district,661,759279.0
2020,4,karnataka,raichur district,392,235950.0
2020,4,karnataka,chamarajanagara district,103,113049.0
2020,4,karnataka,dakshina kannada district,557,445633.0
2020,4,karnataka,hassan district,381,369876.0
2020,4,karnataka,dharwad district,819,552794.0
2020,4,karnataka,shivamogga district,412,313231.0
2020,4,karnataka,udupi district,280,252217.0
2020,4,karnataka,gadag district,192,132488.0
2021,1,karnataka,mysuru district,1473,1099863.0
2021,1,karnataka,chitradurga district,274,209349.0
2021,1,karnataka,kalaburagi district,665,465871.0
2021,1,karnataka,ramanagara district,606,602933.0
2021,1,karnataka,mandya district,434,390308.0
2021,1,karnataka,kodagu district,149,127876.0
2021,1,karnataka,chikkamagaluru district,259,220237.0
2021,1,karnataka,haveri district,234,166097.0
2021,1,karnataka,ballari district,919,731673.0
2021,1,karnataka,belagavi district,1459,1055645.0
2021,1,karnataka,kolar district,575,423114.0
2021,1,karnataka,uttara kannada district,422,376724.0
2021,1,karnataka,tumakuru district,921,782869.0
2021,1,karnataka,yadgir district,169,119279.0
2021,1,karnataka,bengaluru urban district,21606,17636524.0
2021,1,karnataka,chikkaballapura district,325,290390.0
2021,1,karnataka,davanagere district,520,459062.0
2021,1,karnataka,bagalkote district,479,307761.0
2021,1,karnataka,vijayapura district,656,524451.0
2021,1,karnataka,koppal district,264,145686.0
2021,1,karnataka,bidar district,468,381087.0
2021,1,karnataka,bengaluru rural district,952,808005.0
2021,1,karnataka,raichur district,525,368615.0
2021,1,karnataka,chamarajanagara district,118,91911.0
2021,1,karnataka,dakshina kannada district,680,560199.0
2021,1,karnataka,hassan district,486,427177.0
2021,1,karnataka,dharwad district,926,653411.0
2021,1,karnataka,shivamogga district,494,411405.0
2021,1,karnataka,udupi district,330,225073.0
2021,1,karnataka,gadag district,207,120730.0
2021,2,karnataka,mysuru district,1625,1609768.0
2021,2,karnataka,chitradurga district,442,458745.0
2021,2,karnataka,kalaburagi district,757,778234.0
2021,2,karnataka,ramanagara district,606,746239.0
2021,2,karnataka,mandya district,623,642554.0
2021,2,karnataka,kodagu district,163,270605.0
2021,2,karnataka,chikkamagaluru district,369,487211.0
2021,2,karnataka,haveri district,330,298208.0
2021,2,karnataka,ballari district,1133,1013072.0
2021,2,karnataka,belagavi district,1427,1253310.0
2021,2,karnataka,kolar district,601,651596.0
2021,2,karnataka,uttara kannada district,489,592021.0
2021,2,karnataka,tumakuru district,1096,1102268.0
2021,2,karnataka,yadgir district,211,170415.0
2021,2,karnataka,bengaluru urban district,21918,19572756.0
2021,2,karnataka,chikkaballapura district,326,372247.0
2021,2,karnataka,davanagere district,747,846910.0
2021,2,karnataka,bagalkote district,512,582754.0
2021,2,karnataka,vijayapura district,732,568239.0
2021,2,karnataka,koppal district,338,371351.0
2021,2,karnataka,bidar district,492,453924.0
2021,2,karnataka,bengaluru rural district,989,1099031.0
2021,2,karnataka,raichur district,565,396913.0
2021,2,karnataka,chamarajanagara district,152,161777.0
2021,2,karnataka,dakshina kannada district,843,1051575.0
2021,2,karnataka,hassan district,647,831765.0
2021,2,karnataka,dharwad district,1266,1334979.0
2021,2,karnataka,shivamogga district,833,920816.0
2021,2,karnataka,udupi district,521,661224.0
2021,2,karnataka,gadag district,216,200499.0
2021,3,karnataka,mysuru district,1875,1959596.0
2021,3,karnataka,chitradurga district,392,474079.0
2021,3,karnataka,kalaburagi district,733,808324.0
2021,3,karnataka,ramanagara district,821,765577.0
2021,3,karnataka,mandya district,639,698670.0
2021,3,karnataka,kodagu district,177,248546.0
2021,3,karnataka,chikkamagaluru district,386,547276.0
2021,3,karnataka,haveri district,310,343476.0
2021,3,karnataka,ballari district,1188,1290594.0
2021,3,karnataka,belagavi district,1276,1203412.0
2021,3,karnataka,kolar district,671,782088.0
2021,3,karnataka,uttara kannada district,552,671523.0
2021,3,karnataka,tumakuru district,1275,1366567.0
2021,3,karnataka,yadgir district,200,206054.0
2021,3,karnataka,bengaluru urban district,27498,26210017.0
2021,3,karnataka,chikkaballapura district,384,549249.0
2021,3,karnataka,davanagere district,830,908303.0
2021,3,karnataka,bagalkote district,433,366428.0
2021,3,karnataka,vijayapura district,714,822832.0
2021,3,karnataka,koppal district,344,364887.0
2021,3,karnataka,bidar district,516,516419.0
2021,3,karnataka,bengaluru rural district,1092,1361844.0
2021,3,karnataka,raichur district,461,430344.0
2021,3,karnataka,chamarajanagara district,183,208622.0
2021,3,karnataka,dakshina kannada district,1065,1124855.0
2021,3,karnataka,hassan district,745,908378.0
2021,3,karnataka,dharwad district,1167,1189951.0
2021,3,karnataka,shivamogga district,819,949663.0
2021,3,karnataka,udupi district,505,585187.0
2021,3,karnataka,gadag district,217,215605.0
2021,4,karnataka,mysuru district,2999,4025182.0
2021,4,karnataka,chitradurga district,452,597974.0
2021,4,karnataka,kalaburagi district,1364,1791618.0
2021,4,karnataka,ramanagara district,1085,1387009.0
2021,4,karnataka,mandya district,832,1156148.0
2021,4,karnataka,kodagu district,312,530831.0
2021,4,karnataka,chikkamagaluru district,581,961601.0
2021,4,karnataka,haveri district,413,537574.0
2021,4,karnataka,ballari district,1705,2348052.0
2021,4,karnataka,belagavi district,2268,2994132.0
2021,4,karnataka,kolar district,890,1338402.0
2021,4,karnataka,uttara kannada district,894,1418212.0
2021,4,karnataka,tumakuru district,1540,2107437.0
2021,4,karnataka,yadgir district,252,291276.0
