state,year,quarter,registered_users,total_open_apps,phone_brand,phone_count,Percentage
karnataka,2018,3,6372649,0,Others,517237,8.12
karnataka,2018,4,8315802,0,Xiaomi,2192270,26.36
karnataka,2018,4,8315802,0,Samsung,1679503,20.20
karnataka,2018,4,8315802,0,Vivo,1259198,15.14
karnataka,2018,4,8315802,0,Oppo,786990,9.46
karnataka,2018,4,8315802,0,Apple,409721,4.93
karnataka,2018,4,8315802,0,OnePlus,400426,4.82
karnataka,2018,4,8315802,0,Motorola,326656,3.93
karnataka,2018,4,8315802,0,Realme,271671,3.27
karnataka,2018,4,8315802,0,Lenovo,191304,2.30
karnataka,2018,4,8315802,0,Huawei,165469,1.99
karnataka,2018,4,8315802,0,Others,632594,7.61
karnataka,2019,1,10266174,0,Xiaomi,2696059,26.26
karnataka,2019,1,10266174,0,Samsung,2083753,20.30
karnataka,2019,1,10266174,0,Vivo,1632251,15.90
karnataka,2019,1,10266174,0,Oppo,1014741,9.88
karnataka,2019,1,10266174,0,Apple,483281,4.71
karnataka,2019,1,10266174,0,OnePlus,462205,4.50
karnataka,2019,1,10266174,0,Motorola,380185,3.70
karnataka,2019,1,10266174,0,Realme,326719,3.18
karnataka,2019,1,10266174,0,Lenovo,222143,2.16
karnataka,2019,1,10266174,0,Huawei,207401,2.02
karnataka,2019,1,10266174,0,Others,757436,7.38
karnataka,2019,2,11968087,113024811,Xiaomi,3131468,26.17
karnataka,2019,2,11968087,113024811,Samsung,2435855,20.35
karnataka,2019,2,11968087,113024811,Vivo,1973047,16.49
karnataka,2019,2,11968087,113024811,Oppo,1222575,10.22
karnataka,2019,2,11968087,113024811,Apple,543779,4.54
karnataka,2019,2,11968087,113024811,OnePlus,509568,4.26
karnataka,2019,2,11968087,113024811,Motorola,425807,3.56
karnataka,2019,2,11968087,113024811,Realme,377624,3.16
karnataka,2019,2,11968087,113024811,Lenovo,248166,2.07
karnataka,2019,2,11968087,113024811,Huawei,239690,2.00
karnataka,2019,2,11968087,113024811,Others,860508,7.19
karnataka,2019,3,13635075,445683660,Xiaomi,3553970,26.06
karnataka,2019,3,13635075,445683660,Samsung,2769407,20.31
karnataka,2019,3,13635075,445683660,Vivo,2325265,17.05
karnataka,2019,3,13635075,445683660,Oppo,1434039,10.52
karnataka,2019,3,13635075,445683660,Apple,599161,4.39
karnataka,2019,3,13635075,445683660,OnePlus,553290,4.06
karnataka,2019,3,13635075,445683660,Motorola,461794,3.39
karnataka,2019,3,13635075,445683660,Realme,435781,3.20
karnataka,2019,3,13635075,445683660,Huawei,273180,2.00
karnataka,2019,3,13635075,445683660,Lenovo,260999,1.91
karnataka,2019,3,13635075,445683660,Others,968189,7.10
karnataka,2019,4,15385416,569674870,Xiaomi,3999086,25.99
karnataka,2019,4,15385416,569674870,Samsung,3116527,20.26
karnataka,2019,4,15385416,569674870,Vivo,2711261,17.62
karnataka,2019,4,15385416,569674870,Oppo,1667783,10.84
karnataka,2019,4,15385416,569674870,Apple,645777,4.20
karnataka,2019,4,15385416,569674870,OnePlus,588307,3.82
karnataka,2019,4,15385416,569674870,Realme,506808,3.29
karnataka,2019,4,15385416,569674870,Motorola,498395,3.24
karnataka,2019,4,15385416,569674870,Huawei,304839,1.98
karnataka,2019,4,15385416,569674870,Lenovo,279895,1.82
karnataka,2019,4,15385416,569674870,Others,1066738,6.93
karnataka,2020,1,17016980,626488036,Xiaomi,4413738,25.94
karnataka,2020,1,17016980,626488036,Samsung,3434923,20.19
karnataka,2020,1,17016980,626488036,Vivo,3081057,18.11
karnataka,2020,1,17016980,626488036,Oppo,1888027,11.09
karnataka,2020,1,17016980,626488036,Apple,688203,4.04
karnataka,2020,1,17016980,626488036,OnePlus,616490,3.62
karnataka,2020,1,17016980,626488036,Realme,577066,3.39
karnataka,2020,1,17016980,626488036,Motorola,528879,3.11
karnataka,2020,1,17016980,626488036,Huawei,332377,1.95
karnataka,2020,1,17016980,626488036,Lenovo,299776,1.76
karnataka,2020,1,17016980,626488036,Others,1156444,6.80
karnataka,2020,2,18655366,490510075,Xiaomi,4835717,25.92
karnataka,2020,2,18655366,490510075,Samsung,3760784,20.16
karnataka,2020,2,18655366,490510075,Vivo,3448934,18.49
karnataka,2020,2,18655366,490510075,Oppo,2113499,11.33
karnataka,2020,2,18655366,490510075,Apple,721866,3.87
karnataka,2020,2,18655366,490510075,Realme,645204,3.46
karnataka,2020,2,18655366,490510075,OnePlus,636867,3.41
karnataka,2020,2,18655366,490510075,Motorola,562359,3.01
karnataka,2020,2,18655366,490510075,Huawei,357407,1.92
karnataka,2020,2,18655366,490510075,Lenovo,316928,1.70
karnataka,2020,2,18655366,490510075,Others,1255801,6.73
karnataka,2020,3,20487550,693683212,Xiaomi,5287266,25.81
karnataka,2020,3,20487550,693683212,Samsung,4123920,20.13
karnataka,2020,3,20487550,693683212,Vivo,3885369,18.96
karnataka,2020,3,20487550,693683212,Oppo,2361292,11.53
karnataka,2020,3,20487550,693683212,Apple,764040,3.73
karnataka,2020,3,20487550,693683212,Realme,730583,3.57
karnataka,2020,3,20487550,693683212,OnePlus,665424,3.25
karnataka,2020,3,20487550,693683212,Motorola,596112,2.91
karnataka,2020,3,20487550,693683212,Huawei,384491,1.88
karnataka,2020,3,20487550,693683212,Lenovo,336521,1.64
karnataka,2020,3,20487550,693683212,Others,1352532,6.60
karnataka,2020,4,22400182,935510690,Xiaomi,5759174,25.71
karnataka,2020,4,22400182,935510690,Samsung,4507034,20.12
karnataka,2020,4,22400182,935510690,Vivo,4315773,19.27
karnataka,2020,4,22400182,935510690,Oppo,2613131,11.67
karnataka,2020,4,22400182,935510690,Realme,827842,3.70
karnataka,2020,4,22400182,935510690,Apple,817087,3.65
karnataka,2020,4,22400182,935510690,OnePlus,698767,3.12
karnataka,2020,4,22400182,935510690,Motorola,629773,2.81
karnataka,2020,4,22400182,935510690,Huawei,412496,1.84
karnataka,2020,4,22400182,935510690,Lenovo,356004,1.59
karnataka,2020,4,22400182,935510690,Others,1463101,6.53
karnataka,2021,1,24095832,1084917385,Xiaomi,6173033,25.62
karnataka,2021,1,24095832,1084917385,Samsung,4808995,19.96
karnataka,2021,1,24095832,1084917385,Vivo,4760972,19.76
karnataka,2021,1,24095832,1084917385,Oppo,2840533,11.79
karnataka,2021,1,24095832,1084917385,Realme,932695,3.87
karnataka,2021,1,24095832,1084917385,Apple,874661,3.63
karnataka,2021,1,24095832,1084917385,OnePlus,736433,3.06
karnataka,2021,1,24095832,1084917385,Motorola,644344,2.67
karnataka,2021,1,24095832,1084917385,Huawei,430094,1.78
karnataka,2021,1,24095832,1084917385,Lenovo,358120,1.49
karnataka,2021,1,24095832,1084917385,Others,1535952,6.37
karnataka,2021,2,25751023,1051089714,Xiaomi,6567268,25.50
karnataka,2021,2,25751023,1051089714,Vivo,5226819,20.30
karnataka,2021,2,25751023,1051089714,Samsung,5073030,19.70
karnataka,2021,2,25751023,1051089714,Oppo,3067347,11.91
karnataka,2021,2,25751023,1051089714,Realme,1108812,4.31
karnataka,2021,2,25751023,1051089714,Apple,931735,3.62
karnataka,2021,2,25751023,1051089714,OnePlus,794419,3.08
karnataka,2021,2,25751023,1051089714,Motorola,635937,2.47
karnataka,2021,2,25751023,1051089714,Huawei,423934,1.65
karnataka,2021,2,25751023,1051089714,Lenovo,343779,1.34
karnataka,2021,2,25751023,1051089714,Others,1577943,6.13
karnataka,2021,3,27614221,1366781087,Xiaomi,6973776,25.25
karnataka,2021,3,27614221,1366781087,Vivo,5824764,21.09
karnataka,2021,3,27614221,1366781087,Samsung,5266120,19.07
karnataka,2021,3,27614221,1366781087,Oppo,3352923,12.14
karnataka,2021,3,27614221,1366781087,Realme,1315961,4.77
karnataka,2021,3,27614221,1366781087,Apple,999896,3.62
karnataka,2021,3,27614221,1366781087,OnePlus,906742,3.28
karnataka,2021,3,27614221,1366781087,Motorola,618317,2.24
karnataka,2021,3,27614221,1366781087,Huawei,423894,1.54
karnataka,2021,3,27614221,1366781087,Lenovo,322124,1.17
karnataka,2021,3,27614221,1366781087,Others,1609704,5.83
karnataka,2021,4,29459646,1941558513,Xiaomi,7306532,24.80
karnataka,2021,4,29459646,1941558513,Vivo,6391484,21.70
karnataka,2021,4,29459646,1941558513,Samsung,5458878,18.53
karnataka,2021,4,29459646,1941558513,Oppo,3645496,12.37
karnataka,2021,4,29459646,1941558513,Realme,1586292,5.38
karnataka,2021,4,29459646,1941558513,Apple,1120969,3.81
karnataka,2021,4,29459646,1941558513,OnePlus,1018047,3.46
karnataka,2021,4,29459646,1941558513,Motorola,606099,2.06
karnataka,2021,4,29459646,1941558513,Huawei,403084,1.37
karnataka,2021,4,29459646,1941558513,Lenovo,295548,1.00
karnataka,2021,4,29459646,1941558513,Others,1627217,5.52
karnataka,2022,1,31200349,1727054045,Xiaomi,7620184,24.42
karnataka,2022,1,31200349,1727054045,Vivo,6902224,22.12
karnataka,2022,1,31200349,1727054045,Samsung,5641275,18.08
karnataka,2022,1,31200349,1727054045,Oppo,3941299,12.63
karnataka,2022,1,31200349,1727054045,Realme,1813184,5.81
karnataka,2022,1,31200349,1727054045,Apple,1215812,3.90
karnataka,2022,1,31200349,1727054045,OnePlus,1110711,3.56
karnataka,2022,1,31200349,1727054045,Motorola,595920,1.91
karnataka,2022,1,31200349,1727054045,Huawei,394470,1.26
karnataka,2022,1,31200349,1727054045,Lenovo,290138,0.93
karnataka,2022,1,31200349,1727054045,Others,1675132,5.37
jharkhand,2018,1,885762,0,Xiaomi,245371,27.70
jharkhand,2018,1,885762,0,Samsung,170317,19.23
jharkhand,2018,1,885762,0,Vivo,101130,11.42
jharkhand,2018,1,885762,0,Oppo,86879,9.81
jharkhand,2018,1,885762,0,Realme,59659,6.74
jharkhand,2018,1,885762,0,Motorola,26486,2.99
jharkhand,2018,1,885762,0,Lenovo,25424,2.87
jharkhand,2018,1,885762,0,Micromax,18526,2.09
jharkhand,2018,1,885762,0,Gionee,15944,1.80
jharkhand,2018,1,885762,0,Apple,15303,1.73
jharkhand,2018,1,885762,0,Others,120723,13.63
jharkhand,2018,2,1230599,0,Xiaomi,346963,28.19
jharkhand,2018,2,1230599,0,Samsung,235805,19.16
jharkhand,2018,2,1230599,0,Vivo,146983,11.94
