year,quarter,entity_type,entity_name,transaction_type,count,amount
2020,1,pincodes,160036,TOTAL,179376,333775590.9567788
2020,1,pincodes,160002,TOTAL,141763,271208737.4444152
2020,1,pincodes,160022,TOTAL,117571,209076837.24030256
2020,1,pincodes,160047,TOTAL,112942,213767800.59831196
2020,1,pincodes,160014,TOTAL,79062,120442279.18063296
2020,1,pincodes,160015,TOTAL,74935,106414207.6626434
2020,1,pincodes,160019,TOTAL,57212,116999133.74293454
2020,1,pincodes,160030,TOTAL,47014,93963616.77104023
2020,2,districts,chandigarh,TOTAL,1528010,3847015729.690074
2020,2,pincodes,160008,TOTAL,672280,2213962955.141224
2020,2,pincodes,160101,TOTAL,135435,225489767.83328944
2020,2,pincodes,160002,TOTAL,105477,180482232.0826682
2020,2,pincodes,160036,TOTAL,100013,204461493.34462738
2020,2,pincodes,160047,TOTAL,84082,170732223.78765687
2020,2,pincodes,160014,TOTAL,71847,110213995.62325099
2020,2,pincodes,160022,TOTAL,42822,102345153.00086004
2020,2,pincodes,160003,TOTAL,38058,89405961.01537812
2020,2,pincodes,160025,TOTAL,33746,44152295.988048464
2020,2,pincodes,160019,TOTAL,32848,76644635.32769592
2020,3,districts,chandigarh,TOTAL,2158086,5089809353.36507
2020,3,pincodes,160008,TOTAL,813514,2456075017.244974
2020,3,pincodes,160101,TOTAL,187085,347310967.735443
2020,3,pincodes,160036,TOTAL,164223,321961021.0310574
2020,3,pincodes,160002,TOTAL,164083,323859188.60292995
2020,3,pincodes,160047,TOTAL,126033,262891218.26635933
2020,3,pincodes,160022,TOTAL,100215,212473917.86900696
2020,3,pincodes,160014,TOTAL,89228,144237780.9553475
2020,3,pincodes,160015,TOTAL,57169,88615108.82699049
2020,3,pincodes,160030,TOTAL,52790,112925290.67615485
2020,3,pincodes,160019,TOTAL,52423,114487576.78222746
2020,4,districts,chandigarh,TOTAL,2912716,6146762901.349346
2020,4,pincodes,160008,TOTAL,781840,2246493451.2564173
2020,4,pincodes,160101,TOTAL,282765,500720689.4254093
2020,4,pincodes,160002,TOTAL,254446,483467287.3616315
2020,4,pincodes,160036,TOTAL,252319,442552908.6749548
2020,4,pincodes,160022,TOTAL,198033,365839526.89304006
2020,4,pincodes,160047,TOTAL,193768,377315952.1174069
2020,4,pincodes,160014,TOTAL,125659,208936593.02540812
2020,4,pincodes,160015,TOTAL,104048,146838545.97126624
2020,4,pincodes,160019,TOTAL,94792,184389973.18087602
2020,4,pincodes,160030,TOTAL,82180,166443560.03669643
2021,1,districts,chandigarh,TOTAL,3970237,7596420859.545994
2021,1,pincodes,160008,TOTAL,1566609,3447517923.578706
2021,1,pincodes,160101,TOTAL,306785,521032468.21204627
2021,1,pincodes,160036,TOTAL,304235,502095617.05888885
2021,1,pincodes,160002,TOTAL,264846,495327526.29472417
2021,1,pincodes,160022,TOTAL,242366,395256706.04772204
2021,1,pincodes,160047,TOTAL,206193,372616088.3789878
2021,1,pincodes,160015,TOTAL,150002,186093236.77310604
2021,1,pincodes,160014,TOTAL,130369,210680354.66795424
2021,1,pincodes,160019,TOTAL,105609,200030209.73112416
2021,1,pincodes,160030,TOTAL,87034,171852725.69681272
2021,2,districts,chandigarh,TOTAL,4417547,8417673939.9361
2021,2,pincodes,160008,TOTAL,2071075,4384400680.30583
2021,2,pincodes,160101,TOTAL,304282,515288666.4421857
2021,2,pincodes,160036,TOTAL,293961,485381992.96044195
2021,2,pincodes,160002,TOTAL,255931,469331050.87533224
2021,2,pincodes,160047,TOTAL,210130,392704565.48509884
2021,2,pincodes,160022,TOTAL,202917,335716393.4241364
2021,2,pincodes,160014,TOTAL,147887,229078754.2386906
2021,2,pincodes,160015,TOTAL,140297,174526441.1901785
2021,2,pincodes,160019,TOTAL,89814,170321370.56571722
2021,2,pincodes,160030,TOTAL,87476,174012022.95219654
2021,3,districts,chandigarh,TOTAL,6649378,11815883004.693304
2021,3,pincodes,160008,TOTAL,3188488,6339628467.33528
2021,3,pincodes,160036,TOTAL,462106,701648130.2500606
2021,3,pincodes,160101,TOTAL,438375,679000947.8644495
2021,3,pincodes,160002,TOTAL,379894,643367943.1675801
2021,3,pincodes,160022,TOTAL,351526,531853547.81426966
2021,3,pincodes,160047,TOTAL,295135,500223340.5530771
2021,3,pincodes,160015,TOTAL,201833,238847341.98277846
2021,3,pincodes,160014,TOTAL,186675,277899648.9641395
2021,3,pincodes,160019,TOTAL,148872,244508188.3937479
2021,3,pincodes,160030,TOTAL,128550,240373769.05717558
2021,4,districts,chandigarh,TOTAL,7898903,14373583510.61845
2021,4,pincodes,160008,TOTAL,3712842,7784850283.688998
2021,4,pincodes,160101,TOTAL,538507,852544970.9676752
2021,4,pincodes,160036,TOTAL,523279,779918799.3369815
2021,4,pincodes,160022,TOTAL,451911,665992135.1956601
2021,4,pincodes,160002,TOTAL,444435,762476926.847439
2021,4,pincodes,160047,TOTAL,346951,604267859.7276576
2021,4,pincodes,160015,TOTAL,263413,294935485.409002
2021,4,pincodes,160014,TOTAL,213596,314616641.85791296
2021,4,pincodes,160019,TOTAL,200453,321425518.80463934
2021,4,pincodes,160030,TOTAL,154229,287985670.18057156
